Player,QBR
B.Roethlisberger,72.5
A.Rodgers,82.6
P.Manning,77.3
D.Brees,71.6
T.Romo,82.8
T.Brady,74.3
M.Ryan,67
J.Flacco,67.3
P.Rivers,66.8
A.Luck,63.8
E.Manning,70.9
R.Tannehill,59.1
R.Wilson,62.5
A.Smith,49.4
M.Stafford,55.1
J.Cutler,54
R.Fitzpatrick,55.3
C.Palmer,64.8
N.Foles,62.2
D.Anderson,82.8
D.Stanton,58
A.Dalton,55.2
K.Cousins,46.9
M.Sanchez,58.2
B.Hoyer,43.1
K.Orton,42.6
M.Glennon,56
C.Kaepernick,55.9
C.Whitehurst,39.6
A.Davis,37.6
R.Lindley,37.8
G.Smith,35.4
C.McCoy,46.1
S.Hill,38.1
EJ Manuel,19.8
C.Newton,56.9
D.Carr,38.4
T.Bridgewater,50.2
J.Locker,51.1
Z.Mettenberger,30.1
M.Vick,22.2
R.Griffin,30.8
J.McCown,35.7
B.Bortles,21.9
